gene_id,TCGA-AF-2687,TCGA-AF-2690,TCGA-AF-2693,TCGA-AF-3911,TCGA-AF-4110,TCGA-AF-5654,TCGA-AF-6136,TCGA-AF-6655,TCGA-AF-6672,TCGA-AF-A56K,TCGA-AF-A56L,TCGA-AF-A56N,TCGA-AG-3591,TCGA-AG-3592,TCGA-AG-3725,TCGA-AG-3731,TCGA-AG-3732,TCGA-AG-3742,TCGA-AG-3902,TCGA-AG-4021,TCGA-AG-4022,TCGA-AH-6544,TCGA-AH-6547,TCGA-AH-6549,TCGA-AH-6643,TCGA-AH-6644,TCGA-AH-6897,TCGA-AH-6903,TCGA-BM-6198,TCGA-CI-6619,TCGA-CI-6620,TCGA-CI-6621,TCGA-CI-6622,TCGA-CI-6623,TCGA-CI-6624,TCGA-CL-4957,TCGA-CL-5917,TCGA-CL-5918,TCGA-DC-4745,TCGA-DC-4749,TCGA-DC-5337,TCGA-DC-5869,TCGA-DC-6154,TCGA-DC-6155,TCGA-DC-6156,TCGA-DC-6157,TCGA-DC-6158,TCGA-DC-6160,TCGA-DC-6681,TCGA-DC-6682,TCGA-DC-6683,TCGA-DT-5265,TCGA-DY-A0XA,TCGA-DY-A1DC,TCGA-DY-A1DD,TCGA-DY-A1DE,TCGA-DY-A1DF,TCGA-DY-A1DG,TCGA-DY-A1H8,TCGA-EF-5830,TCGA-EF-5831,TCGA-EI-6506,TCGA-EI-6507,TCGA-EI-6508,TCGA-EI-6509,TCGA-EI-6510,TCGA-EI-6511,TCGA-EI-6512,TCGA-EI-6513,TCGA-EI-6514,TCGA-EI-6881,TCGA-EI-6882,TCGA-EI-6883,TCGA-EI-6884,TCGA-EI-6885,TCGA-EI-6917,TCGA-EI-7002,TCGA-EI-7004,TCGA-F5-6464,TCGA-F5-6465,TCGA-F5-6571,TCGA-F5-6702,TCGA-F5-6810,TCGA-F5-6811,TCGA-F5-6812,TCGA-F5-6813,TCGA-F5-6814,TCGA-F5-6861,TCGA-F5-6863,TCGA-F5-6864,TCGA-G5-6233,TCGA-G5-6235,TCGA-G5-6572,TCGA-G5-6572,TCGA-G5-6641
APOE,4666.241,11074.8583,617.5484,1327.9238,1260.0687,58.7595,81.6583,590.266,305.9252,2689.8106,2006.7925,1040.8411,384.7143,421.6597,304.8986,1788.7795,632.6531,443.8477,2656.2193,2324.656,1066.3423,47.3005,4256.3976,364.7387,1452.8102,1284.3666,60.9345,58.4447,2247.3649,1408.3653,263.6373,925.0343,201.3565,204.096,693.0876,230.5109,216.3103,97.7082,498.6314,338.6384,377.5067,481.9103,2045.3433,1858.9611,7609.2668,762.6187,3213.7101,146.4121,294.9351,298.573,2240.2472,4447.0766,715.3663,1930.2649,550.9262,6260.5711,1051.7241,364.3943,81.8009,1242.9293,2004.505,1009.9012,2709.6916,260.7993,1971.1142,261.9454,5300.0527,445.0716,1352.6664,688.1602,639.1929,279.0166,1062.3252,1053.2438,1552.7057,7775.946,1183.8099,2731.1688,6633.6544,2400.5219,2646.2312,2934.7377,329.0011,1935.1504,2518.8175,4340.3233,1666.9034,855.5813,352.7881,3934.1408,1637.7915,52.8053,1086.0258,56301.5426,63.9967
CADM4,412.0903,134.2127,34.6208,99.4203,122.3853,131.1208,180.9045,206.5648,95.8117,199.7295,246.0377,95.835,86.9207,130.4069,129.6453,88.6935,100.6803,114.2578,119.8246,107.103,154.3565,236.5026,84.1535,437.1759,202.9954,284.3666,137.6886,231.3931,238.559,516.0639,58.7602,101.8169,155.9983,191.3842,198.6175,310.01,193.4361,236.0368,34.6715,242.7056,376.3848,232.9957,310.8036,123.839,238.8345,308.3458,246.0561,23.6998,111.9626,74.0944,97.3349,345.7661,238.1184,88.6169,339.5709,153.4502,322.6601,220.6964,175.65,209.596,92.4718,236.0969,543.6123,74.2023,168.7299,151.0239,92.2591,206.2527,372.1292,430.434,108.7551,137.2213,69.9161,52.7964,915.5458,116.8977,211.2885,148.0519,220.7887,159.165,109.5906,281.7018,319.3465,225.094,392.7342,241.5902,528.054,202.7161,506.3197,241.8622,92.8129,130.1923,303.7157,357.8806,158.9595
CALCA,3.8314,6.4792,90.8796,11.599,2.9139,0,1.8844,49.236,10.6457,0.9017,1.1321,263.6474,7.7149,43.5758,4.6453,18.3504,0.4535,4.3945,0.6477,414.2804,5.3074,2.3889,1.4764,3.1911,1.769,99.2812,0,8.5878,0,0.4041,4.3091,30.3872,24.5867,3.8842,23.0415,35.2119,11.9344,9.3317,3.6496,10.168,19.0717,9.6479,13.1985,26.1438,11.4641,10.4948,1.8159,52.6662,25.1728,141.6026,8.24,8.5685,51.0615,12.3767,21.0354,123.5446,0,4.9044,3.1706,10.6061,2.3711,0.8241,1.7621,205.5113,4.1265,6.8259,44.2338,3.4737,8.9529,15.5793,26.6758,1.1435,24.7703,2.2371,0.6256,0,21.9087,1.2987,0,1.1183,0.4014,4.5436,0,21.1466,1.8996,3.0581,1.7756,0.6625,76.5799,2.6495,0.476,0,13.7318,20.9256,3.3031
CD59,6733.0779,8276.7558,6059.0717,5831.3318,6018.108,3310.1197,5811.5578,6218.4493,4606.8077,5303.4265,3869.0566,3790.1334,8943.0643,5698.8145,4349.6622,4943.8975,4563.2653,4681.6406,2850.8532,7221.6437,4851.3932,3680.3631,6334.1535,3812.3654,2997.6096,4257.4124,2706.3132,5307.2519,5816.1441,3952.7177,3232.5923,6221.882,5455.7016,4672.3164,10459.447,3635.5386,4707.1109,3462.6046,5046.9891,6536.2511,7139.5316,7386.3965,6809.1538,5856.2092,7102.9377,6090.9545,5549.8808,3234.233,4751.6487,3860.0439,6033.2175,6554.4355,4196.1418,4986.8065,3723.2597,5191.3225,4730.2956,2703.2859,2185.7958,4135.3535,7135.5068,5527.4684,4409.6916,4266.6337,2478.221,5010.6655,3914.4813,4505.8619,3666.0179,6428.9116,4860.4651,3197.8273,4322.4131,5727.9642,4585.2362,3296.7404,5432.9744,6077.9221,7638.1065,4491.2869,4931.1747,9137.1334,5974.7494,8768.3271,7210.2576,4321.5378,2306.4631,3267.3071,5724.5353,5162.7555,5365.5402,4750.6544,4132.4717,11765.5265,10759.2898
CDKN3,416.7731,376.721,503.7326,338.029,293.4749,372.1436,439.6985,494.0577,448.8024,222.2723,277.3585,241.8116,491.6937,438.3211,323.0574,372.742,223.1293,288.0859,370.8085,657.1216,219.8142,558.5284,128.4449,324.5313,418.374,269.991,377.3253,387.166,346.3642,245.7062,335.7164,505.9275,373.8872,385.2401,206.4516,518.0143,301.8399,209.1396,1057.938,495.137,953.5829,467.4385,135.8169,367.3891,208.2637,338.8306,282.3743,434.4964,328.7493,592.2064,234.8397,831.1492,421.6364,557.9401,313.5271,564.2848,480.9113,235.4095,704.5022,410.6061,567.6349,193.2451,307.489,394.6545,466.2999,302.0478,655.9242,710.3778,298.949,134.4271,326.6074,485.4202,275.6692,182.9978,284.0163,401.6486,141.8492,226.8398,194.4394,202.777,67.8418,180.917,323.8025,235.4323,129.645,577.1079,671.1648,472.0106,238.29,258.5163,720.6092,172.5276,207.189,56.338,128.8192
CDX1,1444.8702,1804.9288,6145.191,3624.2012,4269.7471,4532.6442,4302.7638,4602.1505,5881.496,2382.7773,4455.0943,4771.5326,5003.8574,4666.4531,3967.4831,1919.1436,1710.2041,2617.1875,4152.4071,1288.5831,2799.2039,9262.7807,3952.2638,4805.7439,597.9298,2082.2102,5654.6067,4177.958,2480.5871,3862.5985,2631.6717,4888.7907,5326.4095,2985.1695,3662.6728,4699.882,2347.5883,3946.2056,9240.8759,7930.1503,9409.059,4485.287,4279.7233,4421.0526,1069.9785,2867.5662,1677.9026,3867.2811,4909.4483,3806.8057,3950.5601,3152.2177,2475.2181,5307.6097,1679.8242,5291.825,3470.4433,3635.6057,3690.5517,3931.3131,4536.3367,3899.1005,1712.7753,3863.6132,4368.6382,4319.1126,4313.4281,3749.023,2804.5932,4475.7119,4322.1614,3323.6135,6579.3048,4028.6353,2178.9177,3081.3039,4892.6847,1481.8182,1389.2422,3960.8611,1999.5263,1400.2478,3499.443,4840.2256,2615.2202,3058.9777,2503.9062,5301.7555,4077.3234,4124.1484,4206.5683,3254.8082,3602.5848,1461.5694,4079.6862
CHRNB4,9.7914,4.1652,0.4328,1.3256,2.4977,0.5441,1.8844,1.6978,4.4824,3.6069,2.2642,0.8087,3.0859,0.3204,0.4223,3.4407,2.7211,0.4883,2.267,1.8594,8.8456,1.4333,7.3819,2.872,1.769,2.2462,1.7577,1.4313,4.2695,0.8082,23.1123,3.5518,0.4239,0.3531,3.6866,2.9041,3.9781,1.0978,0.4562,0,0,1.4472,0,0,7.6427,0.9995,0.454,3.6866,9.0171,2.1954,2.575,5.5444,1.0111,1.9803,6.0101,9.8051,3.0788,16.6748,0,2.5253,1.8969,1.6481,23.348,0.7275,6.8776,2.1331,2.9489,1.3026,14.0132,15.1342,0,1.7153,3.1962,0.8949,3.1279,1.124,5.1987,15.5844,4.0887,4.8458,1.2043,3.7175,3.342,3.2895,8.0731,5.2425,2.8409,1.3249,11.5242,8.7055,1.4279,2.7313,0,0,3.3031
CKAP4,3310.7705,2172.8566,2232.6085,1016.4068,2453.1169,4075.0816,2408.2915,3157.3288,2830.6486,1379.1704,984.9057,3768.702,3970.5807,1499.199,2129.6453,3201.7586,3072.1088,2388.1836,1841.0883,4262.923,1577.1782,2184.4243,4476.8701,3011.7272,2597.3681,3256.0647,1325.3259,2988.7882,2783.7225,3134.7747,2899.6181,2972.028,2971.5981,2577.3305,4082.0276,4066.4307,2098.9557,1586.9356,1489.9635,2049.9558,2242.6027,1188.6155,980.5216,5432.4045,1787.915,2170.9145,1705.5953,2512.7057,3069.955,2131.7234,2524.0118,3228.8306,1329.6208,1449.5552,717.7066,2407.1577,717.3645,1384.5022,2047.5587,2302.0202,1804.8607,2733.8616,7437.0044,2490.8702,1767.5378,4744.0273,3241.7062,2793.7473,2387.6995,1222.7529,2030.4378,3850.7719,1656.8118,2639.821,3146.7,3794.305,2519.495,8494.8052,2913.8652,1701.6122,932.9249,3217.2656,3103.6019,1803.1015,1377.1815,3326.7803,2986.5057,3494.5346,1969.5167,2024.6026,2335.0785,2972.1179,2989.0953,2809.3897,3986.7878
CXCL13,434.653,466.5047,87.4175,40.0995,106.983,29.9238,89.8241,24.901,136.1535,86.5645,58.1132,9.7048,8.2292,28.5165,24.4932,378.4765,697.0522,10.2539,188.157,8.9253,229.1022,106.5456,675.689,16.9126,26.9776,158.5804,14.0618,38.4065,572.6484,51.3235,38.39,54.8549,13.5651,10.9463,131.7972,8.7122,0.4973,7.6849,18.2482,25.1989,263.6376,44.3801,4.2576,17.8879,33.4368,64.9675,120.7581,47.9263,3.7571,94.4018,124.1148,4.0323,74.3172,66.834,11.0185,96.5805,1.2315,1.4713,17.1211,8.5859,44.5762,25.9583,438.326,14.5495,1.3755,42.6621,157.1353,26.4872,101.596,27.1525,12.9959,22.2985,78.306,40.2685,440.1001,201.9483,28.2213,96.5368,84.9537,341.4407,52.186,60.7187,2.9707,65.7895,404.1315,276.1031,96.2358,23.5177,1.487,93.4898,10.4712,119.7223,0.4039,19.3159,15.2766
CYP2C9,2.98,1.3884,0.8655,0,14.1534,0.5441,0,0.5659,2.8015,0.9017,0.7547,71.9774,4.1146,0.3204,0,1.5292,1.8141,1.9531,8.0963,2.6032,9.7302,1.9111,13.2874,7.0203,7.0761,0,1.1718,3.3397,2.1348,38.3916,5.0925,1.5786,0.8478,0.7062,4.6083,1.089,0,1.0978,5.0182,0.4421,4.4874,1.9296,6.3864,0,0.4777,0,1.8159,5.7933,8.6414,0,1.03,10.5847,0,0,0,2.4513,1.8473,0.4904,3.1706,3.5354,0,8.2407,0.4405,36.7374,6.4191,0,5.8978,34.3031,1.9463,0.8902,31.1218,8.5763,0.3995,0.4474,0,10.1161,1.4853,4.7619,1.3629,3.7275,1.6057,0.8261,8.912,0.9398,0.9498,0,3.196,6.9559,0,0.3785,19.9905,10.0148,4.8465,18891.4822,7.8448
DUT,1050.2639,1029.7674,1474.0798,1283.5691,1037.1152,1056.0392,910.5214,908.4663,667.3708,788.9044,880.0075,570.1051,1023.5715,915.7417,701.4865,1368.9382,666.6984,661.3574,1119.7217,1561.4689,863.9054,1115.3989,708.5974,708.0527,1072.6648,837.1159,879.045,1299.8306,1115.1701,636.7994,1336.9699,1023.8362,947.0072,867.221,661.5253,1122.7189,856.3053,779.2617,1583.1204,1499.8497,2666.4367,1767.096,696.3576,2041.9126,1022.4504,848.1309,723.591,2154.9177,1132.7612,1764.7311,829.5352,1336.7692,1666.4295,677.8453,383.2844,1942.0223,1488.1773,869.2742,1429.7844,743.5808,1040.9152,472.7129,1023.4141,731.8895,1191.8478,1175.0725,625.6261,617.5119,1338.4858,365.1077,760.6977,1316.3065,779.2649,527.2215,530.8195,1697.8119,783.2009,916.9481,836.8163,945.4552,511.3585,835.0805,674.7494,983.2143,750.279,761.6164,1279.1548,1137.3336,703.4907,959.5344,1006.7016,767.7114,1260.3837,606.2133,819.2527
EXT2,2770.1149,2099.7339,2066.4286,2025.5228,2194.1929,2149.6192,2209.799,1677.4194,2032.7777,1537.872,1767.5472,1962.7982,2489.8421,2364.3063,1800.6757,1834.6555,1109.2971,2555.1758,1440.8095,3152.1012,1685.9797,1480.6498,1931.1024,2356.9206,1105.6394,1498.6523,2789.5122,1819.4179,2239.8933,1895.7365,1669.572,2241.9454,2456.9733,2293.7853,2086.6359,2420.9093,1909.4978,1656.6488,2380.4745,2473.9169,3547.8895,2916.0637,2219.4784,1414.5167,2365.8944,2972.014,2144.592,2010.7966,2005.9344,2291.438,2155.7873,1965.7258,2386.2397,1522.825,1392.8417,2058.0954,658.867,1828.8377,1324.6671,1926.7677,1464.3746,2280.6215,1450.2203,1737.9348,949.1059,1644.6246,2207.8989,2063.3956,2069.2877,2717.0309,1547.5376,1845.6261,1472.6328,1900.6711,2763.8411,1388.9097,2070.182,2037.2294,1614.5739,2299.5061,1739.8006,2195.7869,2565.5403,2453.0075,1934.7026,1321.9747,2099.4318,1860.5499,1710.7807,1461.0144,1548.7863,2232.844,1792.4071,1751.3078,1712.6342
F3,798.6377,686.7986,1531.5374,974.3189,836.2993,1186.0718,1144.4724,960.9508,2079.8431,1405.771,344.9057,948.6454,2225.4796,976.9305,1824.3243,614.3553,2264.8526,585.4492,611.4292,628.8583,691.287,378.882,1323.3268,1388.7515,360.4385,690.4762,734.1438,1057.729,1642.6951,1331.5821,1267.6525,1646.8295,703.2641,741.5254,583.871,754.6964,590.2536,450.1166,935.6752,736.5164,1024.2603,614.0859,252.4747,108.7031,304.2751,445.2774,432.641,1318.7623,909.2267,306.8057,290.4596,1215.2218,146.1066,836.6627,321.5406,339.2573,129.9261,533.5949,389.981,887.3737,654.4161,1583.4559,2788.1057,715.1067,120.1284,543.0887,425.0658,910.9857,284.1573,438.001,1323.1874,3033.1618,218.5378,1555.7047,441.3513,3537.6546,375.0464,5283.9827,550.6088,628.4596,401.0293,410.5741,1716.6729,758.9286,292.5324,167.7588,400.9233,519.046,172.8625,165.0265,822.9415,553.0898,363.4895,222.1328,1319.1577
FABP5,283.5249,427.1665,212.9179,294.2841,146.113,250.272,271.9849,235.4273,360.8349,435.0766,792.8302,274.9697,525.1247,267.8629,91.2162,492.4018,438.0952,170.8984,486.7468,568.6129,102.1672,412.8046,253.937,137.5349,142.4064,66.487,275.3772,106.6317,242.8286,381.8953,297.3264,339.7844,133.9551,358.404,138.2488,264.2708,359.0254,323.3155,632.2993,200.7073,480.718,333.8157,234.1671,227.0382,116.0736,202.8986,178.4133,418.1698,241.5838,378.1559,143.1698,141.6331,203.2348,267.336,241.4059,265.7188,72.6601,358.5091,555.4851,253.0303,111.4404,251.3422,177.9736,342.2764,189.3627,169.3686,331.5429,158.4889,252.6275,118.4027,238.0301,99.4854,241.7099,191.4989,423.2093,330.0862,135.1652,300,148.101,147.237,44.1574,146.6336,82.0646,230.2632,50.8132,144.1678,388.4943,164.624,79.5539,167.2975,198.001,211.2211,52.9079,35.4125,450.0413
FGF9,17.4542,30.5449,37.6501,8.6164,97.825,5.4407,11.3065,2.8297,7.2839,2.7051,2.2642,16.5791,10.2865,25.3124,10.5574,35.1716,92.517,10.2539,15.221,23.4288,118.9739,8.1223,150.5906,19.4655,72.5299,16.1725,3.5155,5.0095,2.6684,34.3504,6.6595,4.341,18.652,2.4718,17.9724,15.6094,45.2511,12.6252,8.2117,8.3996,6.7312,2.8944,2.9803,0,18.1514,34.4828,4.0858,13.1666,4.1328,37.3216,22.66,23.1855,2.5278,1.4852,163.2745,30.3959,237.069,14.7131,5.0729,140.9091,1.4226,21.0139,6.1674,117.487,26.5933,21.3311,11.7957,5.2106,11.2884,36.9452,70.4514,4.574,19.976,30.4251,118.5486,30.3484,4.0847,10.8225,43.6126,29.8201,69.8489,29.3267,18.1953,2.8195,19.9454,15.7274,3.9062,1.6562,4.0892,9.841,31.8896,24.5818,15.3473,8.5848,8.6705
