Gene,TCGA-AF-2687-01A-02D-1734-05,TCGA-AF-2690-01A-02D-1734-05,TCGA-AF-2693-01A-02D-1734-05,TCGA-AF-3911-01A-01D-1734-05,TCGA-AF-4110-01A-02D-1734-05,TCGA-AF-6136-01A-11D-1828-05,TCGA-AF-6655-01A-11D-1828-05,TCGA-AF-6672-01A-11D-1828-05,TCGA-AF-A56K-01A-32D-A39G-05,TCGA-AF-A56L-01A-31D-A39G-05,TCGA-AF-A56N-01A-12D-A39G-05,TCGA-AG-3591-01A-01D-1734-05,TCGA-AG-3592-01A-02D-1734-05,TCGA-AG-3725-01A-11D-1734-05,TCGA-AG-3731-01A-11D-1734-05,TCGA-AG-3732-01A-11D-1658-05,TCGA-AG-3742-01A-11D-1658-05,TCGA-AG-4021-01A-01D-1734-05,TCGA-AG-4022-01A-01D-1734-05,TCGA-AG-A01W-01A-21D-A081-05,TCGA-AG-A01Y-01A-41D-A081-05,TCGA-AG-A020-01A-21D-A081-05,TCGA-AG-A026-01A-32D-A081-05,TCGA-AG-A02N-01A-11D-A081-05,TCGA-AG-A036-01A-12D-A081-05,TCGA-AH-6544-01A-11D-1828-05,TCGA-AH-6547-01A-11D-1828-05,TCGA-AH-6549-01A-11D-1828-05,TCGA-AH-6643-01A-11D-1828-05,TCGA-AH-6644-01A-21D-1828-05,TCGA-AH-6897-01A-11D-1926-05,TCGA-AH-6903-01A-11D-1926-05,TCGA-BM-6198-01A-11D-1734-05,TCGA-CI-6619-01B-11D-1828-05,TCGA-CI-6620-01A-11D-1828-05,TCGA-CI-6621-01A-11D-1828-05,TCGA-CI-6622-01A-11D-1828-05,TCGA-CI-6623-01B-11D-1828-05,TCGA-CI-6624-01C-11D-1828-05,TCGA-CL-4957-01A-01D-1734-05,TCGA-CL-5917-01A-11D-1658-05,TCGA-CL-5918-01A-11D-1658-05,TCGA-DC-4745-01A-01D-1734-05,TCGA-DC-4749-01A-01D-1734-05,TCGA-DC-5337-01A-01D-1658-05,TCGA-DC-5869-01A-01D-1658-05,TCGA-DC-6154-01A-31D-1926-05,TCGA-DC-6155-01A-11D-1658-05,TCGA-DC-6156-01A-11D-1658-05,TCGA-DC-6157-01A-11D-1658-05,TCGA-DC-6158-01A-11D-1658-05,TCGA-DC-6160-01A-11D-1658-05,TCGA-DC-6681-01A-11D-1828-05,TCGA-DC-6682-01A-11D-1828-05,TCGA-DC-6683-01A-11D-1828-05,TCGA-DT-5265-01A-21D-1828-05,TCGA-DY-A0XA-01A-11D-A153-05,TCGA-DY-A1DC-01A-31D-A153-05,TCGA-DY-A1DD-01A-21D-A153-05,TCGA-DY-A1DE-01A-11D-A153-05,TCGA-DY-A1DF-01A-11D-A153-05,TCGA-DY-A1DG-01A-11D-A153-05,TCGA-DY-A1H8-01A-21D-A153-05,TCGA-EF-5830-01A-01D-1658-05,TCGA-EF-5831-01A-01D-1658-05,TCGA-EI-6506-01A-11D-1734-05,TCGA-EI-6507-01A-11D-1734-05,TCGA-EI-6508-01A-11D-1734-05,TCGA-EI-6509-01A-11D-1734-05,TCGA-EI-6510-01A-11D-1734-05,TCGA-EI-6511-01A-11D-1734-05,TCGA-EI-6512-01A-11D-1734-05,TCGA-EI-6513-01A-21D-1734-05,TCGA-EI-6514-01A-11D-1734-05,TCGA-EI-6881-01A-11D-1926-05,TCGA-EI-6882-01A-11D-1926-05,TCGA-EI-6883-01A-31D-1926-05,TCGA-EI-6884-01A-11D-1926-05,TCGA-EI-6885-01A-11D-1926-05,TCGA-EI-6917-01A-11D-1926-05,TCGA-EI-7002-01A-11D-1926-05,TCGA-EI-7004-01A-11D-1926-05,TCGA-F5-6464-01A-11D-1734-05,TCGA-F5-6465-01A-11D-1734-05,TCGA-F5-6571-01A-12D-1828-05,TCGA-F5-6702-01A-11D-1828-05,TCGA-F5-6810-01A-11D-1828-05,TCGA-F5-6811-01A-11D-1828-05,TCGA-F5-6812-01A-11D-1828-05,TCGA-F5-6813-01A-11D-1828-05,TCGA-F5-6814-01A-31D-1926-05,TCGA-F5-6861-01A-11D-1926-05,TCGA-F5-6863-01A-11D-1926-05,TCGA-F5-6864-01A-11D-1926-05,TCGA-G5-6233-01A-11D-1734-05,TCGA-G5-6235-01A-11D-1734-05,TCGA-G5-6572-01A-11D-1828-05,TCGA-G5-6572-02A-12D-1828-05,TCGA-G5-6641-01A-11D-1828-05
APOE,0.191846595,0.16667382,0.128988324,0.116436868,0.14485393,0.149833772,0.136141842,0.134862446,0.107108991,0.225336824,0.110404768,0.111083642,0.109406806,0.089272718,0.172394285,0.157020566,0.183952298,0.171331852,0.115394045,0.128915919,0.108348654,0.116448266,0.102183226,0.106074798,0.141635168,0.146186988,0.222579652,0.134903619,0.173046011,0.120242011,0.111247005,0.147816768,0.181837542,0.21874139,0.15273351,0.172310276,0.140147652,0.154579546,0.170647996,0.102662118,0.121895213,0.144776044,0.114495707,0.086108372,0.151618624,0.163741502,0.102195928,0.153499618,0.182989964,0.132368644,0.142065972,0.149380097,0.189316943,0.173117828,0.133126735,0.233269837,0.12979688,0.115463804,0.093606052,0.11531624,0.066920619,0.092063381,0.183963584,0.182679205,0.253563922,0.217461899,0.177784923,0.092683605,0.085051203,0.196770849,0.172663935,0.166246307,0.091940366,0.110559183,0.150531778,0.192236453,0.22111435,0.18102821,0.144940439,0.348807692,0.116673868,0.216085242,0.156061598,0.13614086,0.136054422,0.204364393,0.119833619,0.132109443,0.191939603,0.165997108,0.156996617,0.181512413,0.11597339,0.16943051,0.18044501,0.162819353,0.144636336,0.170827093,0.178582225
CADM4,0.173081103,0.167734973,0.168306291,0.178742156,0.162923318,0.155410853,0.169980364,0.14809583,0.172358107,0.193535288,0.188846392,0.167202717,0.149984978,0.159095197,0.137024091,0.143219701,0.166502735,0.164438337,0.170183786,0.175901001,0.192584073,0.18029137,0.180288894,0.162986978,0.192538868,0.175534215,0.183509551,0.160220698,0.18393522,0.168333444,0.171816612,0.169163379,0.160867887,0.180248844,0.179537125,0.180952732,0.169389118,0.172004735,0.171948679,0.161765996,0.171783831,0.155201994,0.174659384,0.159236221,0.174747706,0.196679179,0.168473622,0.166411251,0.178588338,0.173534654,0.176047844,0.168664614,0.174382801,0.170168076,0.124327483,0.170040208,0.217801139,0.16508029,0.168675674,0.173404818,0.172374673,0.166168179,0.17312978,0.188433659,0.160683646,0.166902145,0.187153613,0.158600553,0.155880716,0.173587635,0.176703147,0.147848017,0.162183118,0.1647918,0.172045712,0.13277936,0.18772371,0.138470122,0.166256232,0.174130681,0.173627517,0.152005518,0.168293536,0.163381235,0.159134364,0.204305012,0.16986449,0.17448953,0.168932468,0.188901663,0.18919186,0.17826107,0.1734869,0.169681214,0.180754292,0.164005883,0.171026226,0.186203643,0.184202529
CALCA,0.276135031,0.345141292,0.163475813,0.164582247,0.1902814,0.169388888,0.221250899,0.155955803,0.165753702,0.380673628,0.248450676,0.201674122,0.352797251,0.17215127,0.265121839,0.392804637,0.445076716,0.285214764,0.30329987,0.242217763,0.340925219,0.246506595,0.303585203,0.293354146,0.192118491,0.205556381,0.271831495,0.417139123,0.221030466,0.361850513,0.600451348,0.169038818,0.33275575,0.222479428,0.230126855,0.295597044,0.245607291,0.178446579,0.189634263,0.171682463,0.330829953,0.341559273,0.191974771,0.149816916,0.284275547,0.287824909,0.175481108,0.213588209,0.226255911,0.281782965,0.220507609,0.163039049,0.322981251,0.400899783,0.24634594,0.478299333,0.200818596,0.308637547,0.205347873,0.249398749,0.24156985,0.138341571,0.313363673,0.312642633,0.293644546,0.17867341,0.375198426,0.322927434,0.124331419,0.193205725,0.332300411,0.26874722,0.150358952,0.243485109,0.349248121,0.219432381,0.230139282,0.205595083,0.179736174,0.415337677,0.199591782,0.258523562,0.284270458,0.17496098,0.305815062,0.21777365,0.474839465,0.182017788,0.220095513,0.216308023,0.411431879,0.260620374,0.201508797,0.289514835,0.414037725,0.173783931,0.151044484,0.22185248,0.441563356
CD59,0.291273169,0.293014987,0.317049462,0.312948854,0.329134555,0.290031981,0.285734053,0.297205166,0.28472303,0.303368445,0.295718038,0.251219249,0.298615288,0.288231993,0.30448123,0.257690136,0.33864599,0.266213681,0.303916941,0.326189721,0.325341357,0.316799517,0.335417101,0.327417416,0.31919194,0.300887359,0.321932665,0.32049055,0.297048321,0.290499095,0.343443562,0.331477344,0.251622468,0.317474409,0.267355026,0.310269516,0.330031638,0.287409469,0.306037152,0.301582918,0.297410894,0.313223282,0.313956423,0.30302585,0.320671211,0.320406717,0.327354956,0.296441031,0.305079913,0.32337463,0.314118375,0.31071313,0.292505843,0.308076443,0.303057711,0.275938836,0.317636424,0.30734329,0.325195873,0.332261874,0.327648507,0.334395581,0.342191764,0.335493926,0.345112492,0.319461791,0.297161807,0.307740782,0.290736599,0.325434757,0.324110876,0.296516927,0.269248158,0.314419872,0.337543665,0.309743951,0.345819238,0.323423828,0.318072973,0.353281983,0.334031504,0.274265495,0.277577922,0.286844503,0.304997024,0.292671229,0.332793966,0.309436421,0.312845103,0.336771331,0.323995702,0.312499629,0.3171484,0.335649213,0.302517088,0.308740221,0.311031972,0.297576911,0.324172328
CDKN3,0.120481958,0.113038443,0.10667593,0.117001821,0.1092905,0.107284864,0.124415357,0.108427419,0.115615112,0.11484542,0.125612434,0.102388783,0.11328515,0.096006373,0.113159851,0.120546814,0.123660731,0.102664956,0.117675526,0.116343347,0.113696514,0.126417725,0.116102487,0.113699254,0.129982732,0.132328196,0.120903973,0.117186947,0.116119556,0.119556706,0.105564173,0.1165342,0.123824997,0.129411595,0.125318082,0.117424556,0.112865376,0.126281354,0.127926277,0.114070484,0.11717667,0.125363777,0.101954248,0.119503254,0.120829007,0.129718206,0.119183974,0.120679035,0.129111546,0.122132653,0.14390074,0.111791548,0.123472144,0.120458546,0.126806741,0.120858077,0.115304488,0.122452491,0.113758234,0.119751611,0.105943814,0.116784337,0.108469015,0.110674126,0.113584986,0.119688398,0.120617365,0.11622308,0.103710167,0.108380717,0.110596301,0.103588007,0.113836248,0.117014681,0.1189479,0.11958998,0.108255597,0.123743093,0.114561728,0.135884169,0.112975161,0.132637408,0.125629378,0.115310058,0.132919276,0.128122567,0.127419561,0.125002583,0.134291177,0.116479276,0.120329539,0.131246936,0.123415693,0.120773506,0.10205957,0.120211791,0.117660135,0.138426944,0.117821524
CDX1,0.487138639,0.483317406,0.323715245,0.306953815,0.367569173,0.38677707,0.398836049,0.260734988,0.412848779,0.360902634,0.319698595,0.210967056,0.295765696,0.247367344,0.450140574,0.451957042,0.345029611,0.39433168,0.37664784,0.337451893,0.362071589,0.231756041,0.201240648,0.22670229,0.392070257,0.345562079,0.535484612,0.339239681,0.363298323,0.386975042,0.228237254,0.353623275,0.492631267,0.419237736,0.469828109,0.354983918,0.307232426,0.414474506,0.489037718,0.329682085,0.334944119,0.333849122,0.261204465,0.316042788,0.396770187,0.430496569,0.254557389,0.445542028,0.504674746,0.366007241,0.480464353,0.370301953,0.466904454,0.42243834,0.387049475,0.435689773,0.319145693,0.376777149,0.295790602,0.300620626,0.17618197,0.145307993,0.18053383,0.327708065,0.390048989,0.368314368,0.43642209,0.337939167,0.259497293,0.306026044,0.372070535,0.309137969,0.326654684,0.321320726,0.340233063,0.317328894,0.292169527,0.415033011,0.411166671,0.493452475,0.283418843,0.508134468,0.469832494,0.453310135,0.382846846,0.651062016,0.43235599,0.38855621,0.487281429,0.40566575,0.396226294,0.468959052,0.366549462,0.468270074,0.300881846,0.329611696,0.397702086,0.587664852,0.413101335
CHRNB4,0.202167003,0.301111613,0.255880775,0.289787149,0.285363726,0.288138474,0.186880714,0.228140162,0.293216029,0.351341246,0.243692976,0.294109827,0.237461077,0.098310818,0.28152358,0.194058989,0.26018239,0.258488676,0.308910165,0.298773415,0.158423632,0.297893143,0.355690949,0.241930875,0.248480648,0.357060882,0.350509152,0.27655933,0.238471901,0.28151787,0.168839044,0.33768003,0.322496241,0.250618016,0.191747657,0.336887489,0.31484109,0.267924843,0.244692701,0.342020673,0.294305809,0.32548654,0.344066292,0.1827367,0.317764575,0.273525268,0.172728376,0.26267282,0.255392114,0.315109297,0.232318088,0.220290363,0.322823106,0.322237659,0.244123573,0.501145439,0.384243147,0.327111105,0.313230841,0.223845885,0.244774845,0.158230829,0.311913012,0.264481682,0.319900624,0.323382456,0.315151363,0.303760789,0.117717965,0.267021974,0.311964215,0.283604285,0.149637134,0.220436212,0.317704703,0.30721307,0.40740347,0.313644087,0.346744752,0.485001415,0.179195603,0.268820437,0.300543979,0.282666605,0.330624306,0.232748848,0.176164783,0.323923812,0.308637679,0.348459035,0.265560815,0.391884583,0.316308647,0.310829212,0.319548664,0.268691994,0.355046624,0.381261831,0.31021144
CKAP4,0.099921491,0.104862382,0.061357598,0.114562051,0.103399997,0.082362498,0.067760063,0.054579547,0.1132504,0.133819691,0.053468341,0.033260855,0.109806359,0.036088829,0.075334415,0.058435767,0.090203002,0.037563275,0.088291643,0.055085873,0.11653576,0.052973835,0.117444381,0.042447881,0.074047726,0.065468388,0.097013918,0.109140659,0.055756181,0.074698845,0.13336956,0.058143154,0.085198255,0.104103088,0.063314703,0.104330793,0.068249091,0.087986732,0.092387459,0.086135416,0.071770716,0.076041352,0.10061927,0.076350031,0.060937724,0.132089985,0.144576467,0.058801401,0.126489573,0.113036475,0.105951565,0.099674683,0.065428566,0.108258797,0.074857994,0.060304334,0.106403965,0.108890383,0.133379358,0.092677196,0.050360546,0.087562701,0.126085646,0.076175198,0.091231965,0.068202345,0.095062215,0.058803917,0.076591702,0.046231275,0.060468951,0.052067749,0.057423621,0.129657183,0.088172241,0.058136192,0.105567382,0.073039194,0.082539334,0.073028972,0.106273566,0.068633751,0.080478322,0.114597717,0.104792562,0.102925167,0.121567411,0.113148344,0.112063308,0.089957405,0.090355748,0.063611855,0.110113023,0.120209015,0.056095034,0.060714268,0.124533121,0.138690771,0.065845508
CXCL13,0.227519814,0.301225794,0.281568883,0.158604118,0.34618444,0.260134619,0.273708318,0.314738433,0.262396117,0.334668905,0.219198707,0.245228763,0.235124298,0.164346204,0.273661365,0.284257558,0.295638852,0.210518373,0.290716379,0.240422677,0.269382501,0.28757778,0.242357717,0.258948863,0.313009825,0.35614253,0.327443389,0.257816738,0.326466942,0.291743041,0.102762859,0.34066452,0.346759395,0.229093414,0.283657259,0.355905464,0.288787354,0.25182033,0.277166755,0.319867937,0.32458978,0.311255975,0.328329504,0.297924352,0.280335897,0.221027382,0.101075615,0.29445412,0.31498006,0.317245429,0.231113756,0.288364549,0.28742419,0.345204998,0.224076006,0.319482437,0.319049705,0.298143246,0.221835124,0.132182449,0.205236571,0.179226374,0.300212822,0.162087191,0.291004332,0.339379369,0.308576022,0.25658538,0.337165771,0.241882525,0.258239628,0.342650922,0.156522135,0.242173356,0.366956764,0.26687929,0.299176397,0.310569343,0.282973159,0.327653977,0.313819707,0.333204273,0.365437856,0.267819478,0.316099224,0.287409852,0.149610095,0.245340778,0.303023926,0.358599788,0.239581387,0.337843891,0.371649634,0.279034274,0.290591407,0.323868858,0.362595269,0.362808805,0.301011532
CYP2C9,0.524973842,0.69404414,0.58552716,0.368137738,0.612859122,0.597433871,0.665388584,0.387091921,0.617238403,0.600599995,0.561526806,0.376303404,0.352303544,0.512526546,0.644042213,0.583715243,0.571116896,0.566207129,0.645633178,0.48507525,0.352299749,0.584997515,0.096510831,0.468074651,0.470978227,0.661031268,0.667451416,0.60607877,0.693936821,0.650864997,0.56146827,0.509548473,0.626464057,0.641639324,0.491606861,0.750794985,0.583845054,0.614864771,0.548463403,0.575536908,0.420018532,0.588538116,0.541480441,0.575189951,0.569348212,0.388757297,0.494858514,0.495633357,0.407554241,0.484082328,0.358194236,0.629876067,0.66741363,0.653605801,0.524903513,0.680680708,0.550500305,0.61003494,0.543271805,0.261276861,0.321837049,0.424693428,0.368222934,0.329173207,0.63640245,0.531748645,0.803625898,0.589918205,0.601865634,0.533858416,0.491574846,0.603633576,0.401706826,0.566718241,0.624391918,0.479022492,0.360252913,0.625159106,0.564000377,0.736911869,0.604327185,0.645929628,0.758805348,0.636322547,0.609415697,0.622550226,0.308990789,0.484948401,0.701536135,0.784389547,0.447655862,0.659289015,0.504100205,0.643493472,0.557634775,0.616853861,0.811263924,0.637050312,0.528676133
DUT,0.061770432,0.054576871,0.051844762,0.05882846,0.047886945,0.057661032,0.09186605,0.110658184,0.075540429,0.074653155,0.081169841,0.06700651,0.051297472,0.047106292,0.055632459,0.0715199,0.071399409,0.034632374,0.071644954,0.053238534,0.052218897,0.047955063,0.061999803,0.048819588,0.075304813,0.103613914,0.067296677,0.066772749,0.05113289,0.064781629,0.054961995,0.07279464,0.044283713,0.087219607,0.056392355,0.065379455,0.055271825,0.072175761,0.084003205,0.064065749,0.120537775,0.085954119,0.060498178,0.049230485,0.060055102,0.093005656,0.079838914,0.081057821,0.06585916,0.070648931,0.106356491,0.045432662,0.063480864,0.055300806,0.064852591,0.082021424,0.055358224,0.076089688,0.09698232,0.045540031,0.061948709,0.100949497,0.041137671,0.067225312,0.056771568,0.061745455,0.088327036,0.075818149,0.040516088,0.052266948,0.048170306,0.04064471,0.042791629,0.112238984,0.078408896,0.065161545,0.059412317,0.085363246,0.108391695,0.06628709,0.070691447,0.076191771,0.061901207,0.066995459,0.066409784,0.101070681,0.118404042,0.08930163,0.075899996,0.063095258,0.065957416,0.069217489,0.098535417,0.079692995,0.050841652,0.072709175,0.084622011,0.101575014,0.093306458
EXT2,0.044532416,0.045111451,0.04133149,0.04122181,0.048888866,0.045763037,0.053726261,0.041995948,0.044662609,0.044786563,0.041123743,0.037292603,0.03329761,0.03665957,0.042339053,0.050234643,0.040642907,0.036546279,0.05050756,0.058776069,0.068653842,0.070435443,0.061172827,0.06047342,0.060614811,0.054112266,0.051072099,0.049232701,0.048581397,0.049969991,0.041494105,0.048981341,0.037040811,0.055241249,0.043892102,0.046047796,0.042753711,0.042644868,0.059726363,0.046845241,0.050004468,0.043971366,0.047846367,0.041796051,0.04052611,0.048307898,0.052442519,0.051118612,0.0537099,0.04729743,0.0497245,0.039888125,0.04421179,0.04626955,0.038869143,0.050427473,0.047440831,0.047251512,0.051990647,0.042678995,0.061930343,0.066451813,0.044994376,0.060321267,0.052498755,0.043619205,0.043311477,0.044115364,0.051379968,0.043142567,0.038854498,0.04067079,0.037999526,0.035556524,0.060931748,0.047531746,0.049769932,0.050014165,0.047928209,0.065002172,0.047535534,0.05424853,0.048764965,0.048228663,0.044298402,0.04921248,0.045470202,0.043802923,0.047343894,0.058243378,0.049728431,0.050489789,0.049794784,0.049617667,0.038659557,0.046155732,0.047762792,0.048967607,0.049434572
F3,0.116101958,0.114918249,0.08941959,0.048995814,0.122632225,0.095494955,0.089526567,0.069084735,0.156018617,0.095447093,0.069187811,0.054858235,0.058647391,0.056141964,0.117322827,0.093215124,0.065704492,0.070520864,0.16281747,0.0897656,0.089939195,0.060065807,0.061131008,0.064550724,0.08608813,0.120036721,0.17358243,0.078487171,0.074513601,0.092966561,0.06964581,0.097015089,0.088116,0.129950433,0.098834278,0.129518165,0.085828657,0.113944664,0.141734644,0.083973951,0.092610256,0.067184508,0.058845261,0.06676117,0.099059046,0.099976178,0.073817621,0.088547269,0.097800496,0.081079291,0.095941456,0.12927831,0.100844015,0.109287363,0.091183678,0.09362967,0.069905347,0.082392893,0.068613489,0.084842296,0.119406038,0.070588935,0.06369894,0.063577594,0.084018268,0.083007003,0.166288461,0.066199281,0.052051465,0.079722324,0.102991266,0.072272732,0.063439044,0.06947449,0.075660909,0.078287336,0.07547188,0.119810329,0.098233344,0.09950262,0.077041569,0.121372022,0.10738382,0.089732825,0.086562858,0.133685823,0.090668862,0.103390716,0.122172648,0.121399142,0.099275986,0.122328521,0.08756455,0.104771855,0.072590174,0.111896515,0.146119923,0.154678626,0.099042507
FABP5,0.130755385,0.111378379,0.129468723,0.129692587,0.134439356,0.164211862,0.133264899,0.132937126,0.132377781,0.137324043,0.137005096,0.115623954,0.133409359,0.114913687,0.111176183,0.108780102,0.153626031,0.082652247,0.111092372,0.160605876,0.118537061,0.150342238,0.13674851,0.145730036,0.153036188,0.140623205,0.147866213,0.144406381,0.114426599,0.154170144,0.114785071,0.131208476,0.112257371,0.146637563,0.148630957,0.14707786,0.151143568,0.168035861,0.146219633,0.125244901,0.131565166,0.150098857,0.126154902,0.104728617,0.147252818,0.144944955,0.106189278,0.129486821,0.133030641,0.14167462,0.148764198,0.142480357,0.137395074,0.133095983,0.127945947,0.151851352,0.128650774,0.129881449,0.116636054,0.131105909,0.151024526,0.131250447,0.134681567,0.130045201,0.135245302,0.124033428,0.1049083,0.113555735,0.124114447,0.115779333,0.115801047,0.107748628,0.091467503,0.111775982,0.143143424,0.129727726,0.135476675,0.157783184,0.112159214,0.133536335,0.133682746,0.144689218,0.121522177,0.117393657,0.169191102,0.13769529,0.129224076,0.130235005,0.16087851,0.149547063,0.132577332,0.147968346,0.129613709,0.132346392,0.119117293,0.116651352,0.14458432,0.17148356,0.138556813
FGF9,0.046406498,0.046739331,0.044300369,0.039175865,0.041423686,0.051807584,0.047445532,0.064069226,0.04888766,0.039457382,0.04019852,0.052647504,0.035959429,0.036583037,0.039108908,0.074664807,0.063085519,0.046000441,0.036722878,0.099021533,0.054020359,0.062582903,0.051023169,0.100369837,0.065149527,0.078121178,0.064321124,0.056633508,0.069879095,0.045660479,0.054495203,0.059792379,0.044779373,0.05963708,0.061848213,0.052068219,0.041737716,0.049521047,0.051860759,0.03997192,0.042075293,0.053668529,0.040246886,0.041504331,0.055550055,0.058800184,0.050930995,0.053318684,0.068959525,0.045429473,0.059308085,0.050055232,0.05302989,0.051500508,0.044892636,0.053823177,0.074465486,0.049352605,0.043642374,0.070982684,0.061355273,0.048070939,0.042063558,0.049741178,0.062977085,0.042347707,0.087516061,0.037998552,0.032425057,0.047876487,0.038219218,0.037445768,0.036252458,0.037556611,0.049433575,0.084390131,0.048157404,0.056044284,0.045965305,0.109022214,0.056304754,0.079875455,0.090756915,0.037084146,0.052276573,0.055011761,0.055064843,0.052054652,0.060172013,0.060776454,0.073256973,0.090854902,0.077061306,0.062498808,0.054317615,0.037792971,0.051223048,0.071661481,0.074307438
